location,city_region,jurisdiction,country,recording_type,latitude_decimal,longitude_decimal,altitude_m,date,time,version,filename
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,13:41,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1341_1
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,13:42,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1342_1
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,13:52,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1352_1
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,13:55,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1355_1
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,13:59,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1359_1
HCarmel,Haifa,Haifa District,Israel,Soil,32.75778,35.20255,436.98,04/01/2026,14:08,1,HCarmel_Haifa_Nesher_Soil_324528008N_35129.180E_436.98m_040126_1408_1
Hebron,Hebron,Hebron Governorate,State of Palestine / Occupied Palestinian Territories,Air,31.491308,35.229647,510.99,11/01/2026,15:11,1,Hebron_312928.710N_351346.728E_510.99m_110126_1511_1
Hebron,Hebron,Hebron Governorate,State of Palestine / Occupied Palestinian Territories,Air,31.491308,35.229647,510.99,11/01/2026,15:14,1,Hebron_312928.710N_351346.728E_510.99m_110126_1514_1
Hebron,Hebron,Hebron Governorate,State of Palestine / Occupied Palestinian Territories,Air,31.491308,35.229647,510.99,11/01/2026,15:28,1,Hebron_312928.710N_351346.728E_510.99m_110126_1528_1
Hebron,Al Bueib Masafer,Hebron Governorate,State of Palestine / Occupied Palestinian Territories,Electromagnetic,31.490033,35.20517,530.15,11/01/2026,17:09,1,Hebron_Al_Bueib_Masafer_EMF_312924.120N_351218.612E_530.15m_110126_1709_1
Hebron,Al Bueib Masafer,Hebron Governorate,State of Palestine / Occupied Palestinian Territories,Ground,31.490033,35.20517,530.15,11/01/2026,17:17,1,Hebron_Al_Bueib_Masafer_Geo_312924.120N_351218.612E_530.15m_110126_1717_1
